Stock,RS_Rating,currentClose,20 Day MA,50 Day MA,70 Day MA,150 Day MA,200 Day MA,52 Week Low,52 week High
T,16.932116786395063,18.295000076293945,17.45,17.05,16.98,16.56,15.94,12.776750564575195,18.295000076293945
D,15.023402445014984,53.53499984741211,52.57,50.34,49.35,46.9,45.96,37.9467887878418,53.91999816894531
